 article_id |                 title                  | chunk_count | chunk_index |                                                                                             concept_preview                                                                                              |                cpe_id                
------------+----------------------------------------+-------------+-------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------
         28 | Apollo                                 |        1107 |           0 | Apollo or Apollon is one of the  Olympian deities in classical Greek and Roman religion and Greek and Roman mythology.                                                                                   | 0f84e602-2f53-406c-917d-f29192ac2ff0
         28 | Apollo                                 |        1107 |           1 | Apollo has been recognized as a god of archery, music and dance, truth and prophecy, healing and diseases, the Sun and light, poetry, and more.                                                          | b434503e-e6bf-493d-a087-2558cc97464a
         28 | Apollo                                 |        1107 |           2 | One of the most important and complex of the Greek gods, he is the son of Zeus and Leto, and the twin brother of Artemis, goddess of the hunt.                                                           | 8d8c7474-1713-41c3-baaa-0d687d343ff8
         28 | Apollo                                 |        1107 |           3 | He is considered to be the most beautiful god and is represented as the ideal of the kouros (ephebe, or a beardless, athletic youth).                                                                    | dc060582-3299-4d15-9ba7-c2cd46ad20ef
         28 | Apollo                                 |        1107 |           4 | Apollo is known in Greek-influenced Etruscan mythology as Apulu. As the patron deity of Delphi (Apollo Pythios), Apollo is an oracular god—the prophetic deity of the Delphic Oracle and also the deity  | 1c179b4e-3ee9-4b60-b7b8-c09b0c0a911a
         28 | Apollo                                 |        1107 |           5 | As the patron deity of Delphi (Apollo Pythios), Apollo is an oracular god—the prophetic deity of the Delphic Oracle and also the deity of ritual purification.                                           | 0c67e307-5d49-44b3-be58-8d06498cd932
         28 | Apollo                                 |        1107 |           6 | His oracles were often consulted for guidance in various matters.                                                                                                                                        | 23370bc4-5dac-4243-be6b-b1fd60a88f0c
         28 | Apollo                                 |        1107 |           7 | He was in general seen as the god who affords help and wards off evil, and is referred to as , the "averter of evil".                                                                                    | b12ad27a-59fe-48a7-be59-a438374d44db
         28 | Apollo                                 |        1107 |           8 | Medicine and healing are associated with Apollo, whether through the god himself or mediated through his son Asclepius.                                                                                  | 1df8e1b6-d284-4fcd-ab7d-b0f3b7507893
         28 | Apollo                                 |        1107 |           9 | Apollo delivered people from epidemics, yet he is also a god who could bring ill health and deadly plague with his arrows.                                                                               | edb9202c-db21-42cd-be9c-a67c75f7e693
         28 | Apollo                                 |        1107 |          10 | The invention of archery itself is credited to Apollo and his sister Artemis.                                                                                                                            | ce499413-6b77-4c3d-9089-4b62516f265e
         28 | Apollo                                 |        1107 |          11 | Apollo is usually described as carrying a silver or golden bow and a quiver of silver or golden arrows.                                                                                                  | 1ae067bf-56f4-4fc3-bff0-8471b667aaed
         28 | Apollo                                 |        1107 |          12 | As the god of mousike, Apollo presides over all music, songs, dance and poetry.                                                                                                                          | 9d9e3e63-01ec-46ee-98c1-9e2bd43c55a2
         28 | Apollo                                 |        1107 |          13 | He is the inventor of string-music and the frequent companion of the Muses, functioning as their chorus leader in celebrations.                                                                          | dc7b8d7b-2fb1-4b31-96df-aeaeb54513b7
         28 | Apollo                                 |        1107 |          14 | The lyre is a common attribute of Apollo. Protection of the young is one of the best attested facets of his panhellenic cult persona.                                                                    | d1a73f18-68cc-4a75-98be-70836d6daabd
         28 | Apollo                                 |        1107 |          15 | Protection of the young is one of the best attested facets of his panhellenic cult persona.                                                                                                              | d6034cf1-97e2-478c-9a9a-787f73b9245c
         28 | Apollo                                 |        1107 |          16 | As a , Apollo is concerned with the health and education of children, and he presided over their passage into adulthood.                                                                                 | 2da2cbe0-42df-4a9e-bd08-8c025d32645f
         28 | Apollo                                 |        1107 |          17 | Long hair, which was the prerogative of boys, was cut at the coming of age () and dedicated to Apollo.                                                                                                   | cbdbcb41-2bb1-4fd8-a639-385719aae074
         28 | Apollo                                 |        1107 |          18 | The god himself is depicted with long, uncut hair to symbolise his eternal youth.                                                                                                                        | 2b1f9d53-138c-4fbf-8dfe-5c3d071662e3
         28 | Apollo                                 |        1107 |          19 | Apollo is an important pastoral deity, and was the patron of herdsmen and shepherds.                                                                                                                     | 99fbcd32-5cae-4c67-88a5-c8fd2f35cec4
         28 | Apollo                                 |        1107 |          20 | Protection of herds, flocks and crops from diseases, pests and predators were his primary rustic duties.                                                                                                 | 773f5bce-e79e-4b13-bdd5-f5bde98c9e51
         28 | Apollo                                 |        1107 |          21 | On the other hand, Apollo also encouraged the founding of new towns and the establishment of civil constitutions, is associated with dominion over colonists, and was the giver of laws.                 | 53c7bb79-9228-46e9-b3f2-79560f2597e3
         28 | Apollo                                 |        1107 |          22 | His oracles were often consulted before setting laws in a city.                                                                                                                                          | f70c63cd-6943-43c5-aa1e-ec30d596965e
         28 | Apollo                                 |        1107 |          23 | Apollo Agyieus was the protector of the streets, public places and home entrances.                                                                                                                       | bf66a312-08ce-4e4c-9718-8bb2f486b94b
         28 | Apollo                                 |        1107 |          24 | In Hellenistic times, especially during the 5th century BCE, as Apollo Helios he became identified among Greeks with Helios, the personification of the Sun.                                             | 965304b6-d5d8-4c70-a71c-a011cdb84ab1
